No,カテゴリ,質問項目,プロンプト,救急受診ガイドの判定
316,小児 吐き気･吐いた（小児）,おなかがパンパンに張っていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児吐き気･吐いた（小児）。おなかがパンパンに張っていますか？はい。,赤
317,小児 下痢（小児）,便と一緒にたくさんの血が混じっていますか？　〔または〕　便にイチゴゼリー様のものが混じっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児下痢（小児）。便と一緒にたくさんの血が混じっていますか？または便にイチゴゼリー様のものが混じっていますか？はい。,赤
318,小児 腹痛（小児）,元気がなく〔かつ〕ぐったりしていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児腹痛（小児）。元気がなくかつぐったりしていますか？はい。,赤
319,小児 腹痛（小児）,意識がもうろうとしていますか？　〔または〕　おかしなことを口走っていますか？　〔または〕　激しく泣いたり あばれたりしていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児腹痛（小児）。意識がもうろうとしていますか？またはおかしなことを口走っていますか？または激しく泣いたりあばれたりしていますか？はい。,赤
320,小児 腹痛（小児）,おなかがパンパンに張っていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児腹痛（小児）。おなかがパンパンに張っていますか？はい。,赤
321,小児 腹痛（小児）,おまた（股の付け根、陰嚢など）が膨らんでいますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児腹痛（小児）。おまた（股の付け根、陰嚢など）が膨らんでいますか？はい。,赤
322,小児 腹痛（小児）,便にたくさんの血が混じっていますか？　〔または〕　便にイチゴゼリー様のものが混じっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児腹痛（小児）。便にたくさんの血が混じっていますか？または便にイチゴゼリー様のものが混じっていますか？はい。,赤
323,小児 便秘（小児）,おなかがパンパンに張っていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児便秘（小児）。おなかがパンパンに張っていますか？はい。,赤
324,小児 便秘（小児）,激しい痛みがありますか〔または〕ひどく痛いようですか?〔または〕激しく泣きますか？（とくに乳幼児）,あなたは救急医です。救急受診が必要かどうかを判断してください。小児便秘（小児）。激しい痛みがありますかまたはひどく痛いようですか?または激しく泣きますか？（とくに乳幼児）はい。,赤
325,小児 便秘（小児）,便にたくさんの血液が混じっていますか？〔または〕便にイチゴゼリー様のものが混じっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児便秘（小児）。便にたくさんの血液が混じっていますか？または便にイチゴゼリー様のものが混じっていますか？はい。,赤
326,小児 便の色の異常（小児）,便にたくさんの血が混じっていますか？〔または〕便にイチゴゼリー様のようなものが混じっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児便の色の異常（小児）。便にたくさんの血が混じっていますか？または便にイチゴゼリー様のようなものが混じっていますか？はい。,赤
327,小児 便の色の異常（小児）,元気がなく〔かつ〕ぐったりしていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児便の色の異常（小児）。元気がなくかつぐったりしていますか？はい。,赤
328,小児 頭痛（小児）,叫ぶほど痛がりますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児頭痛（小児）。叫ぶほど痛がりますか？はい。,赤
329,小児 頭痛（小児）,痙攣していますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児頭痛（小児）。痙攣していますか？はい。,赤
330,小児 頭痛（小児）,"意識がもうろうとしていますか？〔または〕おかしなことを口走っていますか？
（声をかけても ふつうに受け答えできない）",あなたは救急医です。救急受診が必要かどうかを判断してください。小児頭痛（小児）。意識がもうろうとしていますか？またはおかしなことを口走っていますか？（声をかけてもふつうに受け答えできない）はい。,赤
331,小児 啼泣（小児）,便にたくさんの血が混じっていますか？〔または〕イチゴゼリー様のものが混じっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児啼泣（小児）。便にたくさんの血が混じっていますか？またはイチゴゼリー様のものが混じっていますか？はい。,赤
332,小児 頭のけが・首のけが（小児）,痙攣しましたか?,あなたは救急医です。救急受診が必要かどうかを判断してください。小児頭のけが・首のけが（小児）。痙攣しましたか?はい。,赤
333,小児 頭のけが・首のけが（小児）,意識がもうろうとしていますか？〔または〕おかしなことを口走っていますか？（声をかけても ふつうに受け答えできない）,あなたは救急医です。救急受診が必要かどうかを判断してください。小児頭のけが・首のけが（小児）。意識がもうろうとしていますか？またはおかしなことを口走っていますか？（声をかけてもふつうに受け答えできない）はい。,赤
334,小児 頭のけが・首のけが（小児）,手足で動きにくいところがありますか？ 〔または〕腕の上がり具合に左右差がありますか？〔または〕しびれがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児頭のけが・首のけが（小児）。手足で動きにくいところがありますか？または腕の上がり具合に左右差がありますか？またはしびれがありますか？はい。,赤
335,小児 頭のけが・首のけが（小児）,サラサラした液体（髄液の可能性）が鼻〔または〕耳からポタポタと出ていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児頭のけが・首のけが（小児）。サラサラした液体（髄液の可能性）が鼻または耳からポタポタと出ていますか？はい。,赤
336,小児 頭のけが・首のけが（小児）,頭〔または〕耳〔または〕鼻からの出血が多いですか（押さえても止まらないですか）？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児頭のけが・首のけが（小児）。頭または耳または鼻からの出血が多いですか（押さえても止まらないですか）？はい。,赤
337,小児 頭のけが・首のけが（小児）,興奮している〔または〕起こせば起きるがグッタリしていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児頭のけが・首のけが（小児）。興奮しているまたは起こせば起きるがグッタリしていますか？はい。,赤
338,小児 頭のけが・首のけが（小児）,眼が見えにくかったり、ものが二重に見えたりしますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児頭のけが・首のけが（小児）。眼が見えにくかったり、ものが二重に見えたりしますか？はい。,赤
339,息が苦しい（成人）,指や顔がしびれたり、ピリピリしたりしますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。息が苦しい（成人）。指や顔がしびれたり、ピリピリしたりしますか？はい。,緑
340,息が苦しい（成人）,最近ストレスが多いですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。息が苦しい（成人）。最近ストレスが多いですか？はい。,緑
341,息が苦しい（成人）,風邪のような症状（発熱・寒気・頭痛・咳・鼻水など）はありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。息が苦しい（成人）。風邪のような症状（発熱・寒気・頭痛・咳・鼻水など）はありますか？はい。,緑
342,呼吸がゼーゼーする（成人）,"横になると息苦しいですか？〔または〕（苦しくて）座らないと息ができませんか？ 
胸の痛みがありますか？ 
突然（2 時間以内が目安）始まりましたか？ 
何か変なものを吸い込みましたか？　〔または〕その可能性がありますか？ 
泡（あわ）状のピンク色〔または〕白い痰（たん）がたくさん出ますか？ 
喘息（ぜんそく）はありますか？ 
咳〔または〕黄色や緑色の痰（たん）が出ていますか？ 
アレルギーはありますか？ 
慢性心不全〔または〕心臓の病気〔または〕肺塞栓〔または〕下肢（あし）の血栓〔または〕腎臓の病気　はありますか？ 
このような症状は以前にもありましたか？ 
発熱（38℃以上）はありますか？以上の項目に当てはまらないとき",あなたは救急医です。救急受診が必要かどうかを判断してください。呼吸がゼーゼーする（成人）。以下の項目には当てはまりません。横になると息苦しいですか？または（苦しくて）座らないと息ができませんか？胸の痛みがありますか？突然（2時間以内が目安）始まりましたか？何か変なものを吸い込みましたか？またはその可能性がありますか？泡（あわ）状のピンク色または白い痰（たん）がたくさん出ますか？喘息（ぜんそく）はありますか？咳または黄色や緑色の痰（たん）が出ていますか？アレルギーはありますか？慢性心不全または心臓の病気または肺塞栓または下肢（あし）の血栓または腎臓の病気はありますか？このような症状は以前にもありましたか？発熱（38℃以上）はありますか？,緑
343,ぜんそく発作（成人）,"横になると息苦しいですか？〔または〕（苦しくて）座らないと息ができませんか？
（手持ちの）薬を使ってもまだ苦しいですか〔または〕苦しさがとれないですか？ 
喉（のど）の痛み〔または〕風邪のような症状（発熱・寒気・頭痛・咳・鼻水など）はあり
ますか？ 
ステロイドを飲んでいますか？〔または〕吸入薬を使っていますか？ 
吐いた後〔または〕むせた後に症状が出ましたか？ 
頻繁に〔または〕何度か喘息（ぜんそく）で入院したことがありますか？ 
集中治療室で治療を受けたことがありますか？ 
最近処方された薬は効かないですか？ 
黄色や緑色の痰（たん）が出ていますか？ 
以上の項目にあてはまらないとき",あなたは救急医です。救急受診が必要かどうかを判断してください。ぜんそく発作（成人）。以下の項目には当てはまりません。横になると息苦しいですか？または（苦しくて）座らないと息ができませんか？（手持ちの）薬を使ってもまだ苦しいですかまたは苦しさがとれないですか？喉（のど）の痛みまたは風邪のような症状（発熱・寒気・頭痛・咳・鼻水など）はありますか？ステロイドを飲んでいますか？または吸入薬を使っていますか？吐いた後またはむせた後に症状が出ましたか？頻繁にまたは何度か喘息（ぜんそく）で入院したことがありますか？集中治療室で治療を受けたことがありますか？最近処方された薬は効かないですか？黄色や緑色の痰（たん）が出ていますか？,緑
344,動悸（成人・小児）,頻脈（脈が速い状態）の治療を受けたことがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。頻脈（脈が速い状態）の治療を受けたことがありますか？はい。,緑
345,動悸（成人・小児）,最近、以下のいずれかの薬をのみましたか？：利尿薬、ダイエット薬、うっ血の改善薬、風邪薬,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。最近、以下のいずれかの薬をのみましたか？：利尿薬、ダイエット薬、うっ血の改善薬、風邪薬はい。,緑
346,動悸（成人・小児）,喘息（ぜんそく）の持病があり〔かつ〕最近新しいのみ薬の処方〔または〕のみ薬の増量がありましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。喘息（ぜんそく）の持病がありかつ最近新しいのみ薬の処方またはのみ薬の増量がありましたか？はい。,緑
347,動悸（成人・小児）,発熱（38℃以上）はありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。発熱（38℃以上）はありますか？はい。,緑
348,動悸（成人・小児）,30 分以内に運動しましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。30分以内に運動しましたか？はい。,緑
349,動悸（成人・小児）,疲労感がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。疲労感がありますか？はい。,緑
350,動悸（成人・小児）,不眠がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。不眠がありますか？はい。,緑
351,動悸（成人・小児）,最近ストレスが増えましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。最近ストレスが増えましたか？はい。,緑
352,動悸（成人・小児）,カフェイン、タバコ、アルコール、漢方の興奮薬のいずれかを過量に服用しましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。動悸（成人・小児）。カフェイン、タバコ、アルコール、漢方の興奮薬のいずれかを過量に服用しましたか？はい。,緑
353,頭痛（成人）,日頃から飲んでいる頭痛薬が切れましたか？〔または〕お手もとに頭痛薬（市販も含む）はありませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。頭痛（成人）。日頃から飲んでいる頭痛薬が切れましたか？またはお手もとに頭痛薬（市販も含む）はありませんか？はい。,緑
354,胸が痛い（成人・小児）,"痛みは突然ですか？痛みの程度は変わりませんか？ 
頸部（首）〔または〕あご〔または〕肩甲骨〔または〕背中〔または〕上肢（腕）に痛みが広がっていますか？ 
息切れ〔または〕めまい〔または〕脱力感（力が入らない）がありますか？ 
手足が冷たい〔または〕湿っている（じっとりしていますか）？
吐きましたか？〔または〕吐き気　がありますか？ 
安静にしても胸が痛いですか？ 
動悸（ドキドキする感じ）〔または〕脈がとぶ感じ　がありますか？ 
処方されている薬（ニトログリセリン、フランドルテープなど）を使っても胸痛がおさまらないですか？ 
長く座りっぱなし〔または〕長時間同じ姿勢でしたか？〔または〕旅行などの後ですか？ 
心臓の病気にかかったことがありますか？〔または〕いつもの発作と違いますか？ 
急に足首が腫れてきましたか？ 
血の混じった痰（たん）が出てきましたか？ 
けがをしたり、事故にあったりしましたか？
妊娠、出産、手術、血液の病気（血液凝固異常）のいずれかを経験したことや指摘されたことがありますか？ 
ピル（避妊薬）を飲んでいますか？ 
足の痛み、腫れ、むくみ、赤味、熱っぽい感じのいずれかがありますか？ 
深呼吸〔または〕咳によって痛みますか？ 
発熱（38℃以上）はありますか？ 
咳〔または〕黄色や緑色の痰（たん）が出ていますか？ 
最近けがをして、体を動かすと痛みが増しますか？ 
その場所を押すと痛みが出現しますか？ 
痛みの部分がはっきりしていますか？ 
以上の項目に当てはまらないとき",あなたは救急医です。救急受診が必要かどうかを判断してください。胸が痛い（成人・小児）。以下の項目には当てはまりません。痛みは突然ですか？痛みの程度は変わりませんか？頸部（首）またはあごまたは肩甲骨または背中または上肢（腕）に痛みが広がっていますか？息切れまたはめまいまたは脱力感（力が入らない）がありますか？手足が冷たいまたは湿っている（じっとりしていますか）？吐きましたか？または吐き気がありますか？安静にしても胸が痛いですか？動悸（ドキドキする感じ）または脈がとぶ感じがありますか？処方されている薬（ニトログリセリン、フランドルテープなど）を使っても胸痛がおさまらないですか？長く座りっぱなしまたは長時間同じ姿勢でしたか？または旅行などの後ですか？心臓の病気にかかったことがありますか？またはいつもの発作と違いますか？急に足首が腫れてきましたか？血の混じった痰（たん）が出てきましたか？けがをしたり、事故にあったりしましたか？妊娠、出産、手術、血液の病気（血液凝固異常）のいずれかを経験したことや指摘されたことがありますか？ピル（避妊薬）を飲んでいますか？足の痛み、腫れ、むくみ、赤味、熱っぽい感じのいずれかがありますか？深呼吸または咳によって痛みますか？発熱（38℃以上）はありますか？咳または黄色や緑色の痰（たん）が出ていますか？最近けがをして、体を動かすと痛みが増しますか？その場所を押すと痛みが出現しますか？痛みの部分がはっきりしていますか？,緑
355,背中が痛い（成人）,慢性の背部痛、背部の何らかの手術、腎結石、腎疾患のいずれかの持病がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。背中が痛い（成人）。慢性の背部痛、背部の何らかの手術、腎結石、腎疾患のいずれかの持病がありますか？はい。,緑
356,ろれつが回らない（成人）,風邪のような症状（発熱・寒気・頭痛・咳・鼻水など）はありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。ろれつが回らない（成人）。風邪のような症状（発熱・寒気・頭痛・咳・鼻水など）はありますか？はい。,緑
357,ろれつが回らない（成人）,以前の状態と同じですか？　〔または〕　ひどくなる様子がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。ろれつが回らない（成人）。以前の状態と同じですか？またはひどくなる様子がありますか？はい。,緑
358,腰痛（成人）,もともと腰痛もちでしたか？〔または〕腰の手術後ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。腰痛（成人）。もともと腰痛（成人）もちでしたか？または腰の手術後ですか？はい。,緑
359,腰痛（成人）,軽い痛みで自分で移動できますか？〔または〕我慢できますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。腰痛（成人）。軽い痛みで自分で移動できますか？または我慢できますか？はい。,緑
360,風邪をひいた（成人）,膿のような痰（たん）、黄色や緑色の痰（たん）が出ますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。風邪をひいた（成人）。膿のような痰（たん）、黄色や緑色の痰（たん）が出ますか？はい。,緑
361,風邪をひいた（成人）,血が混じった痰（たん）はありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。風邪をひいた（成人）。血が混じった痰（たん）はありますか？はい。,緑
362,風邪をひいた（成人）,鼻水は大量ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。風邪をひいた（成人）。鼻水は大量ですか？はい。,緑
363,発熱（成人）,尿をするときに痛みがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。発熱（成人）。尿をするときに痛みがありますか？はい。,緑
364,発熱（成人）,耳の痛みはありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。発熱（成人）。耳の痛みはありますか？はい。,緑
365,発熱（成人）,（ 女性のみ）　腟（陰部）の痛み〔または〕おりものがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。発熱（成人）。（女性のみ）腟（陰部）の痛みまたはおりものがありますか？はい。,緑
366,発疹（成人）,予防接種後やきずの処置部の発赤ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。発疹（成人）。予防接種後やきずの処置部の発赤ですか？はい。,緑
367,発疹（成人）,植物に触れた所　〔または〕　アクセサリー接触部　の発疹がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。発疹（成人）。植物に触れた所またはアクセサリー接触部の発疹がありますか？はい。,緑
368,発疹（成人）,眼　〔または〕　口の周囲の発疹がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。発疹（成人）。眼または口の周囲の発疹がありますか？はい。,緑
369,発疹（成人）,家族や同居人にも同様の症状がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。発疹（成人）。家族や同居人にも同様の症状がありますか？はい。,緑
370,のどが痛い（成人）,リウマチ熱にかかったことや、心臓の弁の病気（弁膜症）がありますか？ ,あなたは救急医です。救急受診が必要かどうかを判断してください。のどが痛い（成人）。リウマチ熱にかかったことや、心臓の弁の病気（弁膜症）がありますか？はい。,緑
371,のどが痛い（成人）,皮膚のどこかに斑点のようなもの（皮疹）がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。のどが痛い（成人）。皮膚のどこかに斑点のようなもの（皮疹）がありますか？はい。,緑
372,のどが痛い（成人）,発熱（38℃以上）がありますか？　〔または〕　解熱薬を使っても熱は下がりませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。のどが痛い（成人）。発熱（38℃以上）がありますか？または解熱薬を使っても熱は下がりませんか？はい。,緑
373,のどが痛い（成人）,最近 （2 週間程度） 、周りに同じような症状の人はいましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。のどが痛い（成人）。最近（2週間程度）、周りに同じような症状の人はいましたか？はい。,緑
374,のどが痛い（成人）,扁桃腺が大きくなっていたり、赤くなっていたりしませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。のどが痛い（成人）。扁桃腺が大きくなっていたり、赤くなっていたりしませんか？はい。,緑
375,のどが痛い（成人）,喉（のど）の痛みは3 日以上続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。のどが痛い（成人）。喉（のど）の痛みは3日以上続いていますか？はい。,緑
376,のどが痛い（成人）,息はいつもよりも臭いですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。のどが痛い（成人）。息はいつもよりも臭いですか？はい。,緑
377,のどが痛い（成人）,耳の痛みはありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。のどが痛い（成人）。耳の痛みはありますか？はい。,緑
378,腹痛（成人）,同様の腹痛がよく起こりますか/ 同じような痛みがよく起こりますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。腹痛（成人）。同様の腹痛がよく起こりますか/同じような痛みがよく起こりますか？はい。,緑
379,便秘（成人）,もともと便秘症ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。便秘（成人）。もともと便秘症ですか？はい。,緑
380,便秘（成人）,最近、おなかの手術やけがを経験していますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。便秘（成人）。最近、おなかの手術やけがを経験していますか？はい。,緑
381,便秘（成人）,普段は寝たきりの状態ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。便秘（成人）。普段は寝たきりの状態ですか？はい。,緑
382,下痢（成人）,熱が出ていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。下痢（成人）。熱が出ていますか？はい。,緑
383,下痢（成人）,1 週間以内に海外旅行をしましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。下痢（成人）。1週間以内に海外旅行をしましたか？はい。,緑
384,下痢（成人）,"ひどい脱力感があり、動けないですか？ 
便と一緒にたくさんの血が出ていますか？ 
尿の量が減ったり尿の色が濃くなったりしていますか？ 
ふらつき や 立ちくらみ はありますか？ 
皮膚や唇が乾いていますか？ 
喉（のど）がとても渇きますか？ 
おなかが痛いですか？　
吐きましたか？　〔または〕　吐き気がありますか？ 
下痢が何日も続きますか？ 
頻繁に下痢がありますか？　何度も続いていますか？
熱が出ていますか？ 
1 週間以内に海外旅行をしましたか？以上の項目が当てはまらないとき",あなたは救急医です。救急受診が必要かどうかを判断してください。下痢（成人）。以下の項目には当てはまりません。ひどい脱力感があり、動けないですか？便と一緒にたくさんの血が出ていますか？尿の量が減ったり尿の色が濃くなったりしていますか？ふらつきや立ちくらみはありますか？皮膚や唇が乾いていますか？喉（のど）がとても渇きますか？おなかが痛いですか？吐きましたか？または吐き気がありますか？下痢が何日も続きますか？頻繁に下痢がありますか？何度も続いていますか？熱が出ていますか？1週間以内に海外旅行をしましたか？,緑
385,吐き気・吐いた（成人）,同じような症状をよく起こしますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。吐き気・吐いた（成人）。同じような症状をよく起こしますか？はい。,緑
386,吐血・下血・血便（成人・小児）,発熱（38℃以上）はありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。吐血・下血・血便（成人・小児）。発熱（38℃以上）はありますか？はい。,緑
387,吐血・下血・血便（成人・小児）,最近、がんにかかりましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。吐血・下血・血便（成人・小児）。最近、がんにかかりましたか？はい。,緑
388,吐血・下血・血便（成人・小児）,大便後、拭いた紙に血液が付着していますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。吐血・下血・血便（成人・小児）。大便後、拭いた紙に血液が付着していますか？はい。,緑
389,吐血・下血・血便（成人・小児）,抗がん剤治療中ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。吐血・下血・血便（成人・小児）。抗がん剤治療中ですか？はい。,緑
390,尿が出にくい（成人・小児）,"尿をするときの痛み　〔または〕　残った感じ（残尿感）　〔または〕　発熱（38℃以上）はあ
りますか？",あなたは救急医です。救急受診が必要かどうかを判断してください。尿が出にくい（成人・小児）。尿をするときの痛みまたは残った感じ（残尿感）または発熱（38℃以上）はありますか？はい。,緑
391,尿が出にくい（成人・小児）,"背中〔または〕下腹部の激しい痛みがありますか？ 
尿の色が真っ赤ですか？ 
尿の量が減ったり、尿の色が濃くなったりしていますか？ 
立ちくらみが起きましたか？ 
皮膚や唇が乾いていますか？ 
喉（のど）がとても渇きますか？ 
脱水徴候のいずれかがありますか？ 
下腹部の痛み〔または〕張りがありますか？ 
おなかや骨盤や脊推のけがをしたことがありますか？　〔または〕　手術を受けたことがありますか？ 
腎臓や前立腺の病気にかかったことがありますか？ 
尿をするときの痛み　〔または〕　残った感じ（残尿感）　〔または〕　発熱（38℃以上）はありますか？ 
以上の項目が当てはまらないとき",あなたは救急医です。救急受診が必要かどうかを判断してください。尿が出にくい（成人・小児）。以下の項目には当てはまりません。背中または下腹部の激しい痛みがありますか？尿の色が真っ赤ですか？尿の量が減ったり、尿の色が濃くなったりしていますか？立ちくらみが起きましたか？皮膚や唇が乾いていますか？喉（のど）がとても渇きますか？脱水徴候のいずれかがありますか？下腹部の痛みまたは張りがありますか？おなかや骨盤や脊推のけがをしたことがありますか？または手術を受けたことがありますか？腎臓や前立腺の病気にかかったことがありますか？尿をするときの痛みまたは残った感じ（残尿感）または発熱（38℃以上）はありますか？,緑
392,膣からの出血・液体流出（成人・小児）,閉経後ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。膣からの出血・液体流出（成人・小児）。閉経後ですか？はい。,緑
393,膣からの出血・液体流出（成人・小児）,婦人科の手術を受けたことはありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。膣からの出血・液体流出（成人・小児）。婦人科の手術を受けたことはありますか？はい。,緑
394,膣からの出血・液体流出（成人・小児）,性交後　〔あるいは〕　避妊薬内服中　ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。膣からの出血・液体流出（成人・小児）。性交後あるいは避妊薬内服中ですか？はい。,緑
395,めまい・ふらつき（成人・小児）,"動けませんか？　〔または〕　歩行や移動ができませんか？
急に手足の力が抜けた感じ〔または〕手足の動きにくさがありますか？
しゃべりにくいですか？〔または〕しゃべりにくそうですか？
目が見えにくいですか？ 
脈が極端に速かったり遅かったり、乱れたりしますか？〔または〕ドキドキしますか？ 
胸の痛みがありますか？ 
めまいやふらつきが起こったのは突然ですか？ 
頭痛がありますか？ 
めまいの症状はひどいですか？ 
下痢をしていますか？〔または〕吐いていますか？ 
吐き気がありますか？ 
高血圧の治療中ですか？〔または〕高血圧と言われたことがありますか？〔または〕血圧が
高いですか？ 
ここ2 日以内に、けがをしましたか？ 
糖尿病と言われたことがありますか？ 
発熱（38℃以上）はありますか？ 
耳が聞こえにくいですか？〔または〕耳鳴りがしますか？〔または〕耳の痛みがありますか？ 
以上の項目に当てはまらないとき",あなたは救急医です。救急受診が必要かどうかを判断してください。めまい・ふらつき（成人・小児）。以下の項目には当てはまりません。動けませんか？または歩行や移動ができませんか？急に手足の力が抜けた感じまたは手足の動きにくさがありますか？しゃべりにくいですか？またはしゃべりにくそうですか？目が見えにくいですか？脈が極端に速かったり遅かったり、乱れたりしますか？またはドキドキしますか？胸の痛みがありますか？めまいやふらつきが起こったのは突然ですか？頭痛がありますか？めまいの症状はひどいですか？下痢をしていますか？または吐いていますか？吐き気がありますか？高血圧の治療中ですか？または高血圧と言われたことがありますか？または血圧が高いですか？ここ2日以内に、けがをしましたか？糖尿病と言われたことがありますか？発熱（38℃以上）はありますか？耳が聞こえにくいですか？または耳鳴りがしますか？または耳の痛みがありますか？,緑
396,しびれ（大人）（成人）,しびれ以外の症状がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。しびれ（大人）（成人）。しびれ以外の症状がありますか？はい。,緑
397,首が痛い・肩が痛い（成人・小児）,首にコロコロしたしこりが触れますか？　（腫瘤、リンパ節）,あなたは救急医です。救急受診が必要かどうかを判断してください。首が痛い・肩が痛い（成人・小児）。首にコロコロしたしこりが触れますか？（腫瘤、リンパ節）はい。,緑
398,首が痛い・肩が痛い（成人・小児）,痛みは首を動かすときだけですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。首が痛い・肩が痛い（成人・小児）。痛みは首を動かすときだけですか？はい。,緑
399,首が痛い・肩が痛い（成人・小児）,耳の下が腫れていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。首が痛い・肩が痛い（成人・小児）。耳の下が腫れていますか？はい。,緑
400,首が痛い・肩が痛い（成人・小児）,首の痛みだけで、他に具合の悪いところはありませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。首が痛い・肩が痛い（成人・小児）。首の痛みだけで、他に具合の悪いところはありませんか？はい。,緑
401,首が痛い・肩が痛い（成人・小児）,無理な姿勢を長時間していいましたか？　〔または〕　寝違えましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。首が痛い・肩が痛い（成人・小児）。無理な姿勢を長時間していいましたか？または寝違えましたか？はい。,緑
402,アレルギー（成人・小児）,原因が不明ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。アレルギー（成人・小児）。原因が不明ですか？はい。,緑
403,高血圧（成人）,収縮期血圧140 ～ 159mmHg　〔または〕　拡張期血圧90 ～ 100mmHg　が続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。高血圧（成人）。収縮期血圧140～159mmHgまたは拡張期血圧90～100mmHgが続いていますか？はい。,緑
404,高血圧（成人）,鼻血が出ていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。高血圧（成人）。鼻血が出ていますか？はい。,緑
405,眼科関連（成人・小児）,家で手当をしても痛みが続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。眼科関連（成人・小児）。家で手当をしても痛みが続いていますか？はい。,緑
406,眼科関連（成人・小児）,涙が止まらないですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。眼科関連（成人・小児）。涙が止まらないですか？はい。,緑
